Level,LevelId,Arc,PuzzleFamily,EnvironmentKit,ArtObjective,InteractiveTarget,HazardOrDecoy,UniqueArtTier,GameplayStatus,ConceptStatus,FinalArtStatus,AnimationStatus,AudioStatus,Owner,ReviewNotes
1,LVL_C01_001,Missing Modaks,EraseReveal,ENV_PALACE_STORE,Clear festival ribbon to release first modak jar,ENT_Ribbon_Target,None,Hero,Locked,Not Started,Not Started,Not Started,Not Started,,Cultural review on opening tableau
2,LVL_C01_002,Missing Modaks,EraseReveal,ENV_PALACE_STORE,Clear basket pile to reach serving jar,ENT_BasketPile_Target,Decorative clay shards,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Keep shards noninteractive
3,LVL_C01_003,Missing Modaks,EraseReveal,ENV_PALACE_STORE,Reveal lotus-marked cupboard,ENT_Cupboard_Lotus,Two cupboard decoys,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Repaint behind all doors
4,LVL_C01_004,Missing Modaks,EraseReveal,ENV_PALACE_STORE,Remove correct cloth from balanced shelf,ENT_Cloth_Light,Wrong weight,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Balance silhouette must read
5,LVL_C01_005,Missing Modaks,EraseReveal,ENV_PALACE_STORE,Reveal jar with marigold seal,ENT_Cloth_Marigold,Two covered jars,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Seal visible before erase
6,LVL_C01_006,Missing Modaks,BinaryChoice,ENV_PALACE_STORE,Choose quiet crawl,ENT_Choice_Crawl,ENT_Choice_Run,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Cards use action silhouettes
7,LVL_C01_007,Missing Modaks,BinaryChoice,ENV_PALACE_STORE,Choose carpet route under bells,ENT_Choice_Carpet,ENT_Choice_BareFloor,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Bell clearance readable
8,LVL_C01_008,Missing Modaks,BinaryChoice,ENV_PALACE_STORE,Hide surprise tray in large basket,ENT_Choice_LargeBasket,ENT_Choice_SmallPot,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Parvati reaction is playful
9,LVL_C01_009,Missing Modaks,BinaryChoice,ENV_PALACE_STORE,Choose marigold-marked door,ENT_Choice_MarigoldDoor,ENT_Choice_KitchenDoor,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Use icon plus color
10,LVL_C01_010,Missing Modaks,BinaryChoice,ENV_PALACE_STORE,Offer grass to move temple calf,ENT_Choice_Grass,ENT_Choice_CalfBell,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Calf blocks route footprint
